name,sackmann_name,rank,recent_grass_success,peak_wimb_success,two_month_success,peak_ranking,gs_champion,ytd_win_rate,serve_quality
"VIRTANEN, Otto",Otto Virtanen,137,0.3333333333333333,0.5,0.0,92.0,0,0.3333333333333333,0.6215257244234181
"SHELTON, Ben",Ben Shelton,5,0.7058823529411765,0.8,0.6666666666666666,5.0,0,0.7142857142857143,0.6862266112266112
"FRITZ, Taylor",Taylor Fritz,7,0.8333333333333334,0.8333333333333334,0.6363636363636364,4.0,0,0.6129032258064516,0.673768337605825
"DRAPER, Jack",Jack Draper,160,0.6666666666666666,0.5,0.4444444444444444,4.0,0,0.5555555555555556,0.6684499925694755
"KYPSON, Patrick",Patrick Kypson,114,0.5,0.6666666666666666,0.0,89.0,0,0.125,0.6310935441370223
"MCDONALD, Mackenzie",Mackenzie Mcdonald,144,0.4,0.75,0.4444444444444444,37.0,0,0.3333333333333333,0.6222222222222222
"BONZI, Benjamin",Benjamin Bonzi,93,0.375,0.5,0.5,42.0,0,0.4444444444444444,0.6389932995587514
"DIALLO, Gabriel",Gabriel Diallo,91,0.6428571428571429,0.5,0.0,33.0,0,0.2857142857142857,0.6444472876151485
"SONEGO, Lorenzo",Lorenzo Sonego,72,0.5,0.75,0.2,21.0,0,0.3333333333333333,0.6529593943565037
"ETCHEVERRY, Tomas Martin",Tomas Martin Etcheverry,32,0.2857142857142857,0.5,0.2,25.0,0,0.6,0.6409148109646003
"TIAFOE, Frances",Frances Tiafoe,19,0.7272727272727273,0.75,0.75,10.0,0,0.7073170731707317,0.6473887481242774
"ATMANE, Terence",Terence Atmane,50,0.3333333333333333,0.6666666666666666,0.2857142857142857,41.0,0,0.4230769230769231,0.6416568047337278
"KOPRIVA, Vit",Vit Kopriva,68,0.0,0.0,0.3333333333333333,55.0,0,0.5555555555555556,0.594977077935021
"CHOINSKI, Jan",Jan Choinski,106,0.5,0.5,0.4444444444444444,120.0,0,0.0,0.6049290515309933
"JACQUET, Kyrian",Kyrian Jacquet,136,0.5,0.6666666666666666,0.0,128.0,0,0.0,0.613722998729352
"GAUBAS, Vilius",Vilius Gaubas,129,0.5,0.6666666666666666,0.0,107.0,0,0.5454545454545454,0.5899224806201551
"KOKKINAKIS, Thanasi",Thanasi Kokkinakis,84,0.5,0.5,0.5,65.0,0,0.5,0.657995563621698
"BUBLIK, Alexander",Alexander Bublik,11,0.7,0.75,0.5,10.0,0,0.5882352941176471,0.6442738114687142
"LEHECKA, Jiri",Jiri Lehecka,14,0.6666666666666666,0.75,0.5,12.0,0,0.625,0.6560708122251294
"POPYRIN, Alexei",Alexei Popyrin,100,0.2,0.6666666666666666,0.5,21.0,0,0.34782608695652173,0.6526283295113776
"MOLCAN, Alex",Alex Molcan,102,0.5,0.6666666666666666,0.4444444444444444,38.0,0,0.6666666666666666,0.6168806406508199
"ALTMAIER, Daniel",Daniel Altmaier,59,0.4444444444444444,0.5,0.5454545454545454,44.0,0,0.34615384615384615,0.6181851557241632
"MICHELSEN, Alex",Alex Michelsen,42,0.5555555555555556,0.0,0.5714285714285714,32.0,0,0.5806451612903226,0.6365002768768294
"FEARNLEY, Jacob",Jacob Fearnley,152,0.42857142857142855,0.5,0.0,49.0,0,0.25,0.6136485760343902
"MUNAR, Jaume",Jaume Munar,44,0.42857142857142855,0.6666666666666666,0.3333333333333333,33.0,0,0.42105263157894735,0.6127627183152197
"CERUNDOLO, Francisco",Francisco Cerundolo,21,0.7142857142857143,0.5,0.7272727272727273,18.0,0,0.6923076923076923,0.6150620304036345
"ARNALDI, Matteo",Matteo Arnaldi,35,0.0,0.0,0.7777777777777778,30.0,0,0.5,0.6238378295991465
"HALYS, Quentin",Quentin Halys,101,0.2857142857142857,0.6666666666666666,0.5,46.0,0,0.47619047619047616,0.6550032940487519
"MOUTET, Corentin",Corentin Moutet,36,0.5714285714285714,0.5,0.16666666666666666,30.0,0,0.3333333333333333,0.6027270388474402
"GIRON, Marcos",Marcos Giron,86,0.4444444444444444,0.5,0.16666666666666666,37.0,0,0.4090909090909091,0.6353908055817139
"ROYER, Valentin",Valentin Royer,75,0.5,0.5,0.25,54.0,0,0.13333333333333333,0.6382641748495407
"WENDELKEN, Harry",Harry Wendelken,203,0.0,0.6666666666666666,0.0,224.0,0,0.0,0.6235294117647059
"BLOCKX, Alexander",Alexander Blockx,37,0.0,0.6666666666666666,0.5,36.0,0,0.6666666666666666,0.6703065938681226
"ZVEREV, Alexander",Alexander Zverev,3,0.6923076923076923,0.75,0.8125,2.0,1,0.7916666666666666,0.670178509503443
